location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Hospital,Multipurpose Room,Rain Water Harvesting,Vaastu Compliant,ATM,Car Parking,Intercom,Maintenance Staff,School,Shopping Mall,Staff Quarter,Golf Course,Cafeteria,Indoor Games
New chandigarh mohali,1350,9000000,INR,0,0,0,"150 gaj plot available in omaxe phase 3 new chandigarh near ratwara sahib, gated township possession very soon work in full sewing  More About This Property 1350 Square feet Plot for sale in Devi Nagar, Chandigarh. This land has a dimension of 54.0 mt length 25.0 mt width. Price. The plot is East facing. There are 1 open sides for this plot. The width of the facing road is 40.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Bajwa Institute, PHC, Mullanpur Garibdas, and Guru Gobind Singh Vidya Mandir Sr. Sec School",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Sector 74,1530,5900000,INR,1,1,0,,1,east,0,122,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 79,1350,14900000,INR,1,0,0,"It has a salable area of 1350 sqft and is available at a price of Rs. 11,037 per sqft. It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northwest,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,1420000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1800 sqft and is priced at Rs. 14.20 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1800,2000000,INR,1,1,0,"A plot is available at a prime location in Yadagirigutta. It has a salable area of 1800 sqft and is available at a price of Rs. 1,111 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Sector 77,1800,20500000,INR,1,1,0,"A plot is available for sale in Sector 77, Chandigarh. It has a salable area of 1800 sqft and is available at a price of Rs. 11,388 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,north,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1350000,INR,1,1,0,"A plot property is available for sale in Yadagirigutta, Chandigarh. It has an area of 1350 sqft and is priced at Rs. 13.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mohali Village,8100,2997000,INR,1,1,0,"This plot is situated in Mohali Village, Chandigarh. It has a salable area of 8100 sqft and is available at a price of Rs. 370 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,north,0,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1350,1100000,INR,1,1,0,This plot is available for sale and is located in the heart of Yadagirigutta. It has a salable area of 1350 sqft and is available at a price of Rs. 814 per sqft. Its entry is west facing. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1,west,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Yadagirigutta,1080,852000,INR,1,0,0,"This plot is available for sale and is located in the heart of Yadagirigutta. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
