location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Multipurpose Room,Intercom,Maintenance Staff,Car Parking,Rain Water Harvesting,Vaastu Compliant,Indoor Games,Golf Course,Cafeteria,ATM,Hospital,School,Shopping Mall,Staff Quarter
Kondhwa,4050,22200000,INR,1,0,0,"A plot is available for sale in Clover Realty Pinnacle Ridge, Kondhwa, Pune. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,12,0,1,1,1,1,1,1,0,0,1,8.8,7.9,48.0,,1.0,,1.0,1.0,1.0,,,,,,,,
Kharadi,5000,27500000,INR,1,0,0,"A plot property is available for sale in Kharadi, Pune. It has a salable area of 5000 sqft and is available at a price of Rs. 5,500 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Handewadi,5000,9000000,INR,1,0,0,"This plot is situated in Handewadi, Pune. It has an area of 5000 sqft. The property is available at a price of Rs. 90.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.9,,,,,,,,,,,,,,,,
Khamshet 2,1000,800000,INR,1,1,0,"A plot is available for sale in Khamshet 2, Pune. It has an area of 1000 sqft. The property is available at a price of Rs. 8.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Phase 3,1000,2500000,INR,1,0,0,"It has an area of 1000 sqft. The property is available at a price of Rs. 25.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manohar Nagar,1250,2200000,INR,1,1,0,"1250 Square feet Plot for sale in Talegaon Dabhade, Pune. This land has a dimension of 45.0 mt length 26.0 mt width. Price. This is a corner plot. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 27.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Krishnarao Bhegade School, Prajapita Brahma Kumaris Ishwariya Vishwa Vidyalaya, and Bloomingdale School",1,east,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kothrud,5500,50000000,INR,1,0,0,"It has a salable area of 5500 sqft and is available at a price of Rs. 9,090 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,9.2,,,,,,,,,,,,,,,,
Wagholi,5000,18000000,INR,1,1,0,"A plot property is available for sale in Wagholi, Pune. It has a salable area of 5000 sqft and is available at a price of Rs. 3,600 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Talegaon Dabhade,1500,3700000,INR,1,1,0,"1500 Square feet Plot for sale in Talegaon Dabhade, Pune. This land has a dimension of 39.0 mt length 38.0 mt width. Price. The width of the facing road is 38.0 mt. The most popular landmarks near this plot are Gc Crpf Pune, talegaon, Khandbhor amruttuly & Chinese centre, and Mehta General Hospital",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,,,,,,,,,
Mundhwa,2000,18000000,INR,1,0,0,"A plot is available at a prime location in Mundhwa. It has an area of 2000 sqft and is priced at Rs. 1.80 cr . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,1,1,0,0,0,8.6,,,,,,,,,,,,,,,,
Mahalunge,5380,18830000,INR,1,0,0,"This plot is available for sale and is located in the heart of Mahalunge. It has an area of 5380 sqft. The property is available at a price of Rs. 1.88 cr . Its entry is southeast facing. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,southeast,0,0,0,0,0,0,0,0,0,0,0,0,8.3,,,,,,,,,,,,,,,,
Shivaji Nagar,5490,80000000,INR,1,0,0,"This plot is available for sale and is located in the heart of Shivaji Nagar. It has an area of 5490 sqft. The property is available at a price of Rs. 8.00 cr . It is west facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,west,0,0,0,0,0,0,0,0,0,0,0,0,9.3,,,,,,,,,,,,,,,,
Moshi,810,3289635,INR,1,1,0,"This plot is situated in Dhruva Park Durva Park Phase 1 D, Moshi. It has an area of 810 sqft and is priced at Rs. 32.90 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,7.9,,,,,,,,,,,,,,,,
Old Sangvi,1500,11500000,INR,1,0,0,"A plot is available for sale in Old Sangvi, Pune. It has an area of 1500 sqft and is priced at Rs. 1.15 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
