location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Lal Kuan,450,800000,INR,1,1,0,"A plot is available for sale in Aarvanss Infrastructure Mansarovar Park, Lal Kuan, Ghaziabad. It has an area of 450 sqft and is priced at Rs. 8.00 lac . It is east facing property. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,4,1,1,0,0,1,0,,,0,0,,1,1,7.4,7.8,123.0,,,,,,,,,,,
duhai,620,1650500,INR,1,1,0,"A plot is available for sale in duhai, Ghaziabad. It has an area of 620 sqft. The property is available at a price of Rs. 16.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
DLF Ankur Vihar,300,1000000,INR,1,1,0,"A plot is available for sale in DLF Ankur Vihar, Ghaziabad. It has an area of 300 sqft. The property is available at a price of Rs. 10.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Modinagar,9500,8000000,INR,0,1,0,"A plot property is available for sale in Modinagar, Ghaziabad. It has an area of 9500 sqft. The property is available at a price of Rs. 80.00 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,5.8,,,,,,,,,,,,,
Vasundhara,840,11000000,INR,1,0,0,"This plot is situated in Vasundhara, Ghaziabad. It has an area of 840 sqft and is priced at Rs. 1.10 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Gyan Khand,2745,23700000,INR,1,0,0,"A plot property is available for sale in Gyan Khand, Ghaziabad. It has a salable area of 2745 sqft and is available at a price of Rs. 8,633 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,1,0,0,0,0,0,,,0,0,,0,0,9.5,,,,,,,,,,,,,
Dasna,1233,7500000,INR,1,1,0,"A plot is available for sale in Uppal Chadha Hi Tech Developers Sector 7 Plots, Dasna, Ghaziabad. It has an area of 1233 sqft and is priced at Rs. 75.00 lac . It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,2,1,0,0,0,1,0,,,0,0,,0,0,7.2,,2022.0,,,,,,,,,,,
Dasna,900,4800000,INR,1,1,0,"This plot is available for sale and is located in Aditya Builders Pune World City, one of the most prestigious projects of Dasna. It has a salable area of 900 sqft and is available at a price of Rs. 5,333 per sqft. The amenities include gymnasium, community hall and swimming pool. It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
wave city,450,675000,INR,1,1,0,"This plot is available for sale and is located in the heart of wave city. It has a salable area of 450 sqft and is available at a price of Rs. 1,500 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Shakti Khand,2000,10000000,INR,1,0,0,"This plot is situated in Shakti Khand. It has an area of 2000 sqft and is priced at Rs. 1.00 cr . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,9.3,,,,,,,,,,,,,
