location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Gymnasium,Children's play area,Club House,Lift(s),Swimming Pool,Landscaped Gardens,Rain Water Harvesting,Maintenance Staff,Jogging Track,Sports Facility,Car Parking,24 X 7 Security,Full Power Backup,locality_score,project_score,builder_experience,Indoor Games,ATM,Intercom,School,Shopping Mall,Multipurpose Room,Vaastu Compliant,Cafeteria,Staff Quarter,Hospital,Golf Course
Raj Nagar Extension,928,5225000,INR,1,1,0,"928 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 42.0 mt length 22.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5175000,INR,1,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 42.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,930,5400000,INR,1,1,0,"930 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 42.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,928,5155000,INR,1,1,0,"928 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-West facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5149000,INR,1,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Aryan public school, MODERN NATIONAL PUBLIC SCHOOL, and Schiller Institute Senior Secondary School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5121000,INR,1,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,925,5211000,INR,1,1,0,"925 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5353000,INR,1,1,0,"927 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Chef's Kitchen, AAWISHKAR THE SCHOOL, and Primary school noornagar, ghaziabad",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080,6231000,INR,1,1,0,"1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080,6175000,INR,1,1,0,"GDA approved ploting in rajnagar extension geted society light and road complete More About This Property 1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-West facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080,5985000,INR,1,1,0,"1080 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-West facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northwest,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6240000,INR,1,1,0,"1125 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 25.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,930,5095000,INR,1,1,0,"930 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 44.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The Chef's Kitchen, AAWISHKAR THE SCHOOL, and Primary school noornagar, ghaziabad",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1081,6300000,INR,1,1,0,"1081 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 45.0 mt length 24.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6251000,INR,0,1,0,"A plot is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 1125 sqft. The property is available at a price of Rs. 62.51 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6230000,INR,0,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has an area of 1125 sqft and is priced at Rs. 62.30 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5151000,INR,1,1,0,"This plot is situated in Raj Nagar Extension. It has an area of 927 sqft. The property is available at a price of Rs. 51.51 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6350000,INR,1,1,0,"A plot is available at a prime location in Raj Nagar Extension. It has a salable area of 1125 sqft and is available at a price of Rs. 5,644 per sqft. Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6225000,INR,0,1,0,"GDA Approved gated society at 100 feet road in Raj nagar Extn., Ghaziabad More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is East facing. The width of the facing road is 10.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6235000,INR,0,1,0,"GDA APPROVED GATED SOCIETY AT 100 FEET ROAD AT RAJ NAGAR EXTN GHAZIABAD More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is North facing. The width of the facing road is 10.0 mt. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6241000,INR,0,1,0,"GDA approved Gated Society, Raj Nagar Extn. at 100 feet Road More About This Property 125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. This is a corner plot. The plot is North facing. The width of the facing road is 10.0 mt. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,north,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,900,1450000,INR,1,1,0,"900 Square feet Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 43.0 mt length 21.0 mt width. Price. The plot is North-East facing. There are 1 open sides for this plot. The width of the facing road is 20.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1125,6211000,INR,0,1,0,"125 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 14.0 mt length 9.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5151000,INR,1,1,0,"103 Square yard Plot for sale in Ghukna, Ghaziabad. This land has a dimension of 13.0 mt length 8.0 mt width. Price. The plot is North-East facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are The American School, Ghaziabad, Natkhat Fast Food & Restaurant, and Makoons Pre-School",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,1080,6600000,INR,1,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 1080 sqft. The property is available at a price of Rs. 66.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5655000,INR,1,1,0,"It has an area of 927 sqft and is priced at Rs. 56.55 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5550000,INR,1,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has an area of 927 sqft. The property is available at a price of Rs. 55.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
12 Greater Noida West Link Road,300,4500000,INR,,1,1,"This plot is available for sale and is located in the heart of 12 Greater Noida West Link Road. It has an area of 300 sqft. The property is available at a price of Rs. 45.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Crossing Republik,2025,9450000,INR,,0,0,"A plot is available for sale in Ansal API Aquapolis, Crossing Republik, Ghaziabad. The amenities include club house, sports facility, indoor games, hospital, staff quarter, gymnasium, power backup, rain water harvesting, lift available and car parking. Its entry is southwest facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,southwest,0,0,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Crossing Republik,1638,7644000,INR,,0,0,"A plot is available at a prime location in Ansal API Aquapolis. It has an area of 1638 sqft and is priced at Rs. 76.44 lac . The amenities include cctv, car parking, intercom, children's play area, staff quarter, reserved parking, gymnasium, swimming pool, service lift and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,northeast,0,0,1,1,1,1,1,0,1.0,1.0,1,1,1.0,1,1,,8.8,55.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,
Dasna,630,1120000,INR,1,1,0,"Plots are available for sale in Dasna, Ghaziabad. It has an area of 630 sqft and is priced at Rs. 11.20 lac . It is facing northeast direction. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details.",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,7.2,,,,,,,,,,,,,
SHAKTI KHAND 4,1250,15500000,INR,1,0,1,"This plot is situated in SHAKTI KHAND 4, Ghaziabad. It has an area of 1250 sqft and is priced at Rs. 1.55 cr (negotiable). It is east facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,25,0,1,0,0,0,0,1.0,1.0,0,1,1.0,1,1,,,,,1.0,,1.0,1.0,,1.0,,,1.0,
Govindpuram,450,600000,INR,1,1,0,"Residential Plot available for sale in Eastern Peripheral Expressway On Nh-24, Govindpuram, Ghaziabad. Available amenities are: Gym, Garden. Plot has 450 square_feet area It is 1 years old. Property is inside a gated community.",1,north,0,0,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
N T P C Dadri Road,200,5000000,INR,,1,1,"This plot is situated in N T P C Dadri Road. It has an area of 200 sqft and is priced at Rs. 50.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
"GYAN KHAND - 1, INDIRAPURAM",1216,16500000,INR,1,0,1,"A plot property is available for sale in GYAN KHAND - 1, INDIRAPURAM, Ghaziabad. It has an area of 1216 sqft and is priced at Rs. 1.65 cr (negotiable). One of the major USPs of the property is that it is a road facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,west,0,25,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Ghaziabad,500,4000000,INR,,1,1,"This plot is situated in Ghaziabad. It has an area of 500 sqft and is priced at Rs. 40.00 lac (negotiable). The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Raj Nagar Extension,927,5148000,INR,1,1,0,"A plot property is available for sale in Raj Nagar Extension, Ghaziabad. It has a salable area of 927 sqft and is available at a price of Rs. 5,553 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Niti Khand,3434,60000000,INR,,0,1,"Niti Khand, Ghaziabad, 319 sqmtr residential plot available for sale, in main location of indirapuram. Construction allowed ground floor to 3rd floor. In front of 80foota road.
All amenities like, school, hospitals, banks, atms, malls, institutional centers, on walking distance.",1,east,0,0,0,0,0,0,0,0,,,0,0,1.0,1,1,,,,,,,,,,,,,,
Niti Khand,2368,30000000,INR,,0,1,"A plot is available at a prime location in SVP Group Park View I. It has an area of 2368 sqft and is priced at Rs. 3.00 cr (negotiable). It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,0,1,0,1,1,1,0,1.0,,1,0,1.0,1,1,9.3,8.5,23.0,,,,,,,1.0,,1.0,,
Niti Khand II,4090,72500000,INR,1,0,1,"It has an area of 4090 sqft. The property is available at a price of Rs. 7.25 cr (negotiable). It is a road facing property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,west,0,14,0,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Siddhartha Vihar,900,1210000,INR,1,1,0,"This plot is situated in Siddhartha Vihar. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,north,0,3,1,0,0,0,0,0,,,0,0,,0,0,,,,,,,,,,,,,,
Dasna,2152,10039080,INR,0,1,0,"A plot property is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 2152 sqft. The property is available at a price of Rs. 1.00 cr . The amenities include children's play area, power backup, community hall, sewage treatment plant, indoor games, service lift, cycling & jogging track, multipurpose room, 24x7_water_supply and shopping mall. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dasna,1197,5584005,INR,0,1,0,"A plot is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 1197 sqft. The property is available at a price of Rs. 55.84 lac . It has multipurpose room as well as atm. The project also has sports facility, landscaped gardens, 24 x 7 security, landscape garden and tree planting, conference room, cycling & jogging track, lift available and visitor parking. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dasna,1377,4436694,INR,1,1,0,"This plot is available for sale and is located in Aditya GZB Park Town, one of the most prestigious projects of Dasna. It has an area of 1377 sqft and is priced at Rs. 44.37 lac . It has recreation facilities as well as landscape garden and tree planting. The project also has rain water harvesting, maintenance staff, 24 x 7 security, jogging track, storm water drains, gated community, power backup and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1205,3882510,INR,1,1,0,"A plot property is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has sewage treatment plant as well as gated community. The project also has power backup, recreation facilities, landscape garden and tree planting, 24 x 7 security, maintenance staff, storm water drains, access controlled entry and exit and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1550,4994100,INR,1,1,0,"It has an area of 1550 sqft. The property is available at a price of Rs. 49.94 lac . The amenities include maintenance staff, landscape garden and tree planting, rain water harvesting, recreation facilities, sewage treatment plant, 24 x 7 security, storm water drains, power backup, gated community and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1459,4700898,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has an area of 1459 sqft and is priced at Rs. 47.01 lac . It has power backup as well as maintenance staff. The project also has 24 x 7 security, sewage treatment plant, rain water harvesting, access controlled entry and exit, landscape garden and tree planting, recreation facilities, storm water drains and gated community. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1295,4172490,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1295 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include 24 x 7 security, storm water drains, jogging track, rain water harvesting, landscape garden and tree planting, access controlled entry and exit, recreation facilities, gated community, power backup and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1356,4369032,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1356 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include sewage treatment plant, landscape garden and tree planting, power backup, gated community, rain water harvesting, 24 x 7 security, maintenance staff, storm water drains, recreation facilities and access controlled entry and exit. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,2340,7539480,INR,1,1,0,"This plot is situated in Aditya GZB Park Town, Dasna. It has an area of 2340 sqft and is priced at Rs. 75.39 lac . It has recreation facilities as well as access controlled entry and exit. The project also has power backup, storm water drains, landscape garden and tree planting, maintenance staff, sewage treatment plant, jogging track, gated community and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1197,5584005,INR,0,1,0,"A plot is available for sale in Aditya Builders Pune World City, Dasna, Ghaziabad. It has an area of 1197 sqft. The property is available at a price of Rs. 55.84 lac . It has multipurpose room as well as atm. The project also has sports facility, landscaped gardens, 24 x 7 security, landscape garden and tree planting, conference room, cycling & jogging track, lift available and visitor parking. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,0,1,1,1,1,1,1,1.0,1.0,1,1,1.0,1,1,7.2,,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Dasna,1459,4700898,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has an area of 1459 sqft and is priced at Rs. 47.01 lac . It has power backup as well as maintenance staff. The project also has 24 x 7 security, sewage treatment plant, rain water harvesting, access controlled entry and exit, landscape garden and tree planting, recreation facilities, storm water drains and gated community. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1295,4172490,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1295 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include 24 x 7 security, storm water drains, jogging track, rain water harvesting, landscape garden and tree planting, access controlled entry and exit, recreation facilities, gated community, power backup and sewage treatment plant. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1356,4369032,INR,1,1,0,"A plot is available for sale in Aditya GZB Park Town, Dasna, Ghaziabad. It has a salable area of 1356 sqft and is available at a price of Rs. 3,222 per sqft. The amenities include sewage treatment plant, landscape garden and tree planting, power backup, gated community, rain water harvesting, 24 x 7 security, maintenance staff, storm water drains, recreation facilities and access controlled entry and exit. The society is well connected by different modes of transportation. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,2340,7539480,INR,1,1,0,"This plot is situated in Aditya GZB Park Town, Dasna. It has an area of 2340 sqft and is priced at Rs. 75.39 lac . It has recreation facilities as well as access controlled entry and exit. The project also has power backup, storm water drains, landscape garden and tree planting, maintenance staff, sewage treatment plant, jogging track, gated community and 24 x 7 security. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
Dasna,1898,6115356,INR,1,1,0,"A plot is available at a prime location in Aditya GZB Park Town. It has an area of 1898 sqft and is priced at Rs. 61.15 lac . It has recreation facilities as well as sewage treatment plant. The project also has gated community, storm water drains, landscape garden and tree planting, maintenance staff, access controlled entry and exit, jogging track, power backup and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,3,0,0,0,0,0,0,1.0,1.0,1,0,,1,1,7.2,8.3,43.0,,,,,,,,,,,
