,location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria,Golf Course
142,Mohanlalganj,1000.0,1100000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Mohanlalganj, Lucknow. It has an area of 1000 sqft and is priced at Rs. 11.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
143,Gosainganj,1000.0,499000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Gosainganj, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 499 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
144,Mohanlalganj,1500.0,1500000.0,INR,1.0,1.0,0.0,"This plot is situated in Mohanlalganj, Lucknow. It has an area of 1500 sqft. The property is available at a price of Rs. 15.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.3,,,,,,,,,,,,,,,,
145,Mohanlalganj,2500.0,2375000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Mohanlalganj, Lucknow. Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.3,,,,,,,,,,,,,,,,
146,Telibagh,1250.0,1187000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Telibagh, Lucknow. It has an area of 1250 sqft and is priced at Rs. 11.87 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
147,Mohanlalganj,1000.0,1000000.0,INR,1.0,1.0,0.0,"This plot is situated in Mohanlalganj. It has a salable area of 1000 sqft and is available at a price of Rs. 1,000 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
148,Telibagh,1000.0,950000.0,INR,1.0,1.0,0.0,"This plot is situated in Telibagh, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 950 per sqft. It is facing north direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1.0,north,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
149,Telibagh,800.0,760000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Telibagh, Lucknow. It has an area of 800 sqft. The property is available at a price of Rs. 7.60 lac . It is northwest facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,northwest,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,
150,Golf City,1000.0,1899000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Golf City, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,899 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
151,Mohanlalganj,800.0,800000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Mohanlalganj, Lucknow. It has a salable area of 800 sqft and is available at a price of Rs. 1,000 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.3,,,,,,,,,,,,,,,,
152,Gosainganj,1260.0,1258740.0,INR,1.0,1.0,0.0,"This plot is available for sale and is located in the heart of Gosainganj. It has a salable area of 1260 sqft and is available at a price of Rs. 999 per sqft. It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,,,,,,,,,,,,,,,,
153,Jankipuram,700.0,909300.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Jankipuram, Lucknow. It has an area of 700 sqft and is priced at Rs. 9.09 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,,,,,,,,,,,,,,,
154,Alambagh,2000.0,1700000.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has landscaped gardens as well as sewage treatment plant. The project also has cctv, fire sprinklers, gated community, 24x7 water supply, 24 x 7 security, jogging track, cycling & jogging track and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
155,Alambagh,1000.0,850000.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has an area of 1000 sqft. The property is available at a price of Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
156,Alambagh,5000.0,4250000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 5000 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
157,Alambagh,1250.0,1062500.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 850 per sqft. It has car parking as well as 24 x 7 security. The project also has maintenance staff, fire sprinklers, cctv, gated community, landscape garden and tree planting, rain water harvesting, 24x7 water supply and sewage treatment plant. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
158,Alambagh,3000.0,2550000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. The amenities include landscape garden and tree planting, cycling & jogging track, jogging track, landscaped gardens, sewage treatment plant, car parking, children's play area, fire sprinklers, cctv and 24x7 water supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
159,Alambagh,1500.0,1275000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 850 per sqft. It has fire sprinklers as well as landscaped gardens. The project also has cycling & jogging track, gated community, 24 x 7 security, jogging track, rain water harvesting, 24x7 water supply, cctv and car parking. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
160,Alambagh,2000.0,1700000.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has landscaped gardens as well as sewage treatment plant. The project also has cctv, fire sprinklers, gated community, 24x7 water supply, 24 x 7 security, jogging track, cycling & jogging track and rain water harvesting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
161,Alambagh,1000.0,850000.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh. It has an area of 1000 sqft. The property is available at a price of Rs. 8.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
162,Alambagh,5000.0,4250000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 5000 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
163,Alambagh,1250.0,1062500.0,INR,1.0,1.0,0.0,"This plot is situated in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 850 per sqft. It has car parking as well as 24 x 7 security. The project also has maintenance staff, fire sprinklers, cctv, gated community, landscape garden and tree planting, rain water harvesting, 24x7 water supply and sewage treatment plant. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
164,Alambagh,3000.0,2550000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. The amenities include landscape garden and tree planting, cycling & jogging track, jogging track, landscaped gardens, sewage treatment plant, car parking, children's play area, fire sprinklers, cctv and 24x7 water supply. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
165,Alambagh,1500.0,1275000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sabri City Properties And Developers Sabri City, Alambagh, Lucknow. It has a salable area of 1500 sqft and is available at a price of Rs. 850 per sqft. It has fire sprinklers as well as landscaped gardens. The project also has cycling & jogging track, gated community, 24 x 7 security, jogging track, rain water harvesting, 24x7 water supply, cctv and car parking. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
166,Alambagh,599.0,509150.0,INR,1.0,1.0,0.0,"A plot is available at a prime location in Sabri City Properties And Developers Sabri City. It has an area of 599 sqft and is priced at Rs. 5.09 lac . It has fire sprinklers as well as maintenance staff. The project also has sewage treatment plant, landscape garden and tree planting, jogging track, rain water harvesting, cctv, gated community, cycling & jogging track and landscaped gardens. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
167,Alambagh,2200.0,1870000.0,INR,1.0,1.0,0.0,"This plot is available for sale and is located in Sabri City Properties And Developers Sabri City, one of the most prestigious projects of Alambagh. It has a salable area of 2200 sqft and is available at a price of Rs. 850 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1.0,,0.0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,
168,Aashiyana,1000.0,6500000.0,INR,1.0,1.0,0.0,"A plot is available at a prime location in Aashiyana. It has a salable area of 1000 sqft and is available at a price of Rs. 6,500 per sqft. It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,north,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,,,,,,,,,,,,,,,,
169,Mohanlalganj,1200.0,1078800.0,INR,1.0,1.0,0.0,"This plot is situated in Mohanlalganj, Lucknow. It has a salable area of 1200 sqft and is available at a price of Rs. 899 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
170,Alambagh,2000.0,1900000.0,INR,1.0,1.0,0.0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has a salable area of 2000 sqft and is available at a price of Rs. 950 per sqft. The amenities include internal roads, street lighting, landscape garden and tree planting, fountains and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
171,Alambagh,1000.0,950000.0,INR,1.0,1.0,0.0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 9.50 lac . The amenities include fountains, internal roads, jogging track, street lighting and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
172,Alambagh,3000.0,2850000.0,INR,1.0,1.0,0.0,"This plot is situated in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 3000 sqft and is priced at Rs. 28.50 lac . The amenities include internal roads, fountains, jogging track, landscape garden and tree planting and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
173,Alambagh,1500.0,1425000.0,INR,1.0,1.0,0.0,"This plot is available for sale and is located in JSI Infra Developers Aalishan City, one of the most prestigious projects of Alambagh. It has an area of 1500 sqft. The property is available at a price of Rs. 14.25 lac . It has internal roads as well as street lighting. The project also has jogging track, fountains and landscape garden and tree planting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
174,Alambagh,2400.0,2280000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has a salable area of 2400 sqft and is available at a price of Rs. 950 per sqft. The amenities include fountains, jogging track, internal roads, landscape garden and tree planting and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
175,Alambagh,1200.0,1140000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in JSI Infra Developers Aalishan City, Alambagh, Lucknow. It has an area of 1200 sqft and is priced at Rs. 11.40 lac . It has landscape garden and tree planting as well as street lighting. The project also has internal roads, fountains and jogging track. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
176,Alambagh,600.0,570000.0,INR,1.0,1.0,0.0,"A plot is available at a prime location in JSI Infra Developers Aalishan City. It has an area of 600 sqft and is priced at Rs. 5.70 lac . It has jogging track as well as internal roads. The project also has landscape garden and tree planting, fountains and street lighting. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1.0,,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
177,Neel Matha,1200.0,2220000.0,INR,1.0,1.0,0.0,"This plot is situated in Neel Matha, Lucknow. It has an area of 1200 sqft and is priced at Rs. 22.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
178,Golf City,1200.0,1560000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Golf City, Lucknow. It has an area of 1200 sqft. The property is available at a price of Rs. 15.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1.0,,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
179,Vrindavan Yojna,1318.0,8200000.0,INR,1.0,0.0,0.0,"A plot property is available for sale in Vrindavan Yojna, Lucknow. It has an area of 1318 sqft. The property is available at a price of Rs. 82.00 lac . It is northeast facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1.0,northeast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.1,,,,,,,,,,,,,,,,
180,Mohanlalganj,1000.0,899000.0,INR,1.0,1.0,0.0,"This plot is situated in Mohanlalganj. It has a salable area of 1000 sqft and is available at a price of Rs. 899 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,,
181,Sultanpur Road,2400.0,7200000.0,INR,1.0,1.0,0.0,"This plot is situated in Sapphire Constructions Residency, Sultanpur Road. It has an area of 2400 sqft. The property is available at a price of Rs. 72.00 lac . Its entry is west facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1.0,west,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,17.0,,1.0,,,,1.0,,,,,,,,
182,Sultanpur Road,1250.0,3500000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sapphire Constructions Residency, Sultanpur Road, Lucknow. It has an area of 1250 sqft. The property is available at a price of Rs. 35.00 lac . It is facing west direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1.0,west,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,17.0,,1.0,,,,1.0,,,,,,,,
183,Bakkas,1950.0,7800000.0,INR,1.0,1.0,0.0,"This plot is situated in Sapphire Infraventures Sapphire Royale Apartment, Bakkas. It has an area of 1950 sqft and is priced at Rs. 78.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,west,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,123.0,,,,,,,,,,,,,,
184,Sarojini Nagar,1000.0,836000.0,INR,1.0,1.0,0.0,A plot is available at a prime location in Sarojini Nagar. It has an area of 1000 sqft and is priced at Rs. 8.36 lac . It is east facing property. It is situated in the proximity of all the important facilities. Please contact us for more details. ,1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
185,Sarojini Nagar,1000.0,730000.0,INR,1.0,1.0,0.0,"This plot is available for sale and is located in the heart of Sarojini Nagar. It has a salable area of 1000 sqft and is available at a price of Rs. 730 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
186,Sarojini Nagar,1000.0,725000.0,INR,1.0,1.0,0.0,"This plot is situated in Sarojini Nagar, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 725 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
187,Sarojini Nagar,1000.0,900000.0,INR,1.0,1.0,0.0,"This plot is situated in Sarojini Nagar. It has an area of 1000 sqft and is priced at Rs. 9.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
188,Sarojini Nagar,1000.0,849600.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Sarojini Nagar, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 849 per sqft. It is east facing property. The site is in close proximity to various civic utilities. Kindly call us for details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
189,Sarojini Nagar,1000.0,849000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Sarojini Nagar, Lucknow. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1.0,east,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
190,Sultanpur Road,3200.0,9200000.0,INR,1.0,1.0,0.0,"A plot property is available for sale in Sapphire Constructions Residency, Sultanpur Road, Lucknow. It has an area of 3200 sqft. The property is available at a price of Rs. 92.00 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1.0,east,0.0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,17.0,,1.0,,,,1.0,,,,,,,,
191,Sushant Golf City,1800.0,6480000.0,INR,0.0,1.0,0.0,"A plot is available for sale in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has an area of 1800 sqft and is priced at Rs. 64.80 lac . The amenities include 24x7 water supply, solid waste management and disposal, fire sprinklers and full power backup. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1.0,,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
192,Sushant Golf City,4359.0,15693768.0,INR,0.0,1.0,0.0,"This plot is situated in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has a salable area of 4359 sqft and is available at a price of Rs. 3,600 per sqft. The amenities include 24x7 water supply, full power backup, solid waste management and disposal and fire sprinklers. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1.0,,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
193,Sushant Golf City,1500.0,5400000.0,INR,0.0,1.0,0.0,"This plot is available for sale and is located in Baba Infra Developers Kailasha Encalve, one of the most prestigious projects of Sushant Golf City. It has a salable area of 1500 sqft and is available at a price of Rs. 3,600 per sqft. The amenities include 24x7 water supply, solid waste management and disposal, full power backup and fire sprinklers. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. ",1.0,,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
194,Sushant Golf City,1200.0,4320000.0,INR,0.0,1.0,0.0,"This plot is situated in Baba Infra Developers Kailasha Encalve, Sushant Golf City, Lucknow. It has an area of 1200 sqft and is priced at Rs. 43.20 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1.0,,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
195,Alambagh,2000.0,1400000.0,INR,1.0,1.0,0.0,"A plot is available for sale in Arsh Property Developers And Builders Property, Alambagh, Lucknow. It has a salable area of 2000 sqft and is available at a price of Rs. 700 per sqft. The amenities include hospital, internal roads, temple, landscape garden and tree planting, street lighting, storm water drains, full power backup, school, reflexology park and park. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1.0,,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,1.0,,
