location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Swimming Pool,Sports Facility,Lift(s),Club House,Full Power Backup,Gymnasium,Rain Water Harvesting,Maintenance Staff,Jogging Track,Car Parking,Vaastu Compliant,Children's play area,24 X 7 Security,Landscaped Gardens,locality_score,project_score,builder_experience,School,ATM,Shopping Mall,Multipurpose Room,Intercom,Staff Quarter,Hospital,Indoor Games,Cafeteria,Golf Course
Golf City,1200,180000,INR,1,0,0,"1200 Square feet Plot for sale in Ahmamau, Lucknow. This land has a dimension of 30.0 mt length 40.0 mt width. Price. The width of the facing road is 40.0 mt. The most popular landmarks near this plot are Spice Tree Restaurant, Dixit Misthan Bhandar, and Rink Grocery Items",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Gomti Nagar,1000,600000,INR,1,0,0,"A plot is available at a prime location in Ansal API Sushant Golf City. It has an area of 1000 sqft. The property is available at a price of Rs. 6.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,0,1,0,1,1,1,1,1.0,,1,1.0,1.0,0,1,0,8.5,,55.0,,,,,,1.0,,,,
Gosainganj,1000,1200000,INR,1,0,0,"A plot is available for sale in Gosainganj, Lucknow. It has a salable area of 1000 sqft and is available at a price of Rs. 1,200 per sqft. It is facing northeast direction. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,,0,,,0,0,0,6.3,,,,,,,,,,,,
Naubasta Kala,1000,1499000,INR,1,0,0,"This plot is available for sale and is located in the heart of Naubasta Kala. It has an area of 1000 sqft and is priced at Rs. 14.99 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,4,0,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Madiyava,1000,1650000,INR,1,0,0,"This plot is situated in Madiyava, Lucknow. It has an area of 1000 sqft. The property is available at a price of Rs. 16.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,,0,5,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Arjunganj,1000,1349000,INR,1,0,0,"A plot is available for sale in Arjunganj, Lucknow. It has a salable area of 1250 sqft and is available at a price of Rs. 1,079 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. If you are interested, please contact us for more details. ",1,east,0,0,1,0,0,0,0,1,,,0,,,0,0,0,,,,,,,,,,,,,
Safedabad,1000,1400000,INR,1,0,0,"A plot is available at a prime location in Safedabad. It has a salable area of 1000 sqft and is available at a price of Rs. 1,400 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Golf City,1000,1800000,INR,1,0,0,"This plot is available for sale and is located in the heart of Golf City. It has a salable area of 1000 sqft and is available at a price of Rs. 1,800 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,4,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
Gosainganj,1000,750000,INR,1,0,0,"This plot is situated in Vasundhara Lucknow Orchid Valley, Gosainganj, Lucknow. It has an area of 1000 sqft and is priced at Rs. 7.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,,0,0,1,0,1,1,1,1,1.0,,1,1.0,1.0,1,1,1,6.3,8.5,123.0,,1.0,1.0,,1.0,,,,,
Telibagh,1000,1700000,INR,1,0,0,"A plot is available for sale in Telibagh, Lucknow. It has an area of 1000 sqft and is priced at Rs. 17.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,
