location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Kamshet,2000,551000,INR,1,1,0,"This plot is available for sale and is located in the heart of Kamshet. It has an area of 2000 sqft. The property is available at a price of Rs. 5.51 lac . It is facing northwest direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,northwest,0,0,0,0,0,0,0,1,1,0,0,0,6,,,,,,,,,,,,,,,,
Maval,2000,551000,INR,1,1,0,"ABOUT US
Trust the VISHWA REALITY near Pune Solapur Highway

This Specially Designed project Situated on 18 acres of land with a magnificent, Splendid Developments
PROJECT AREA - 20 ACRES
NO. OF PLOTS ? 200
PLOT SIZE ? 2000 SQ.FT. ONWARDS

?	KEY POINTS TO BUY
o	Lowest Rate in entire Vicinity (with all amenities) 
o	Best Investment Opportunity
o	Kurkumbh MIDC 
o	Excellent Connectivity with Pune-Sholapur Highway, Airport & Railway Station.

?	CONNECTIVITY
o	Pune-Solapur Highway :- 1 Min 
o	New Airport :-30 Mins
o	Patas Railway Station :- 10 Mins
o	Delhi Bangalore Highway Touch 
o	Hospital :- 2 Mins 
o	Convent School :- 2 Mins

?	AMENITIES
o	Vishwa Reality garnishes with all modern Amenities like
o	Main Gate
o	Internal Road
o	Street Light
o	Garden Area, Open Space, Gazebo
o	Kids play area
o	Road side plantation
o	Entire Project Fencing
o	Electricity Connection
o	Water Connection
o	Security cabin
 More About This Property 2000 Square feet Plot for sale in Maval, Pune. This land has a dimension of 41.0 mt length 49.0 mt width. Price. This is a corner plot. The plot is North facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 3. The most popular landmarks near this plot are Zilla Parishad Primary School Karandoli, Zilla Parishad Primary School Kambre Pathar, and ZPPS Karvandevasti",1,north,0,0,0,0,0,0,0,1,1,0,0,0,5.3,,,,,,,,,,,,,,,,
Hadapsar,1000,215000,INR,1,1,0,"A plot is available at a prime location in Hadapsar. It has an area of 1000 sqft. The property is available at a price of Rs. 2.15 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,northeast,0,0,0,0,0,0,0,1,1,0,0,0,9.4,,,,,,,,,,,,,,,,
Hadapsar,2000,450000,INR,1,1,0,"A plot is available at a prime location in Hadapsar. It has an area of 2000 sqft and is priced at Rs. 4.50 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,east,0,0,0,0,0,0,0,1,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Undri,2050,820000,INR,1,1,0,"This plot is situated in Undri. It has an area of 2050 sqft. The property is available at a price of Rs. 8.20 lac . Its entry is northeast facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,0,3,0,0,0,0,0,1,0,0,0,0,8.3,,,,,,,,,,,,,,,,
Charholi Budruk,2500,500000,INR,1,1,0,"PROJECT AMMENITIES
1)	ENTRANCE GATE
2)	INTERNAL 20 FT TAR ROAD
3)	ROAD SIDE TREE PLANTATION AND STREET LIGHT POLE
4)	ELCETRICITY AND WATER SUPPLY TO EACH PLOT
5)	GARDEN
6)	TEMPLE
7)	children's PLAY AREA
8)	NAME BOARD IN EACH PLOT
NEARBY DEVELOPMENTS
1)	PUNE ? SOLAPUR HIGHWAY 1 KM
2)	PATAS ? BARAMATI HIGHWAY 0.7 KM
3)	KURKUMBH MIDC 1 KM
4)	PATAS RAILWAY STATION 6 KM
5)	BARAMATI AIRPORT AND MIDC 25 KM
6)	DAUND 10 KM
7)	HADAPSAR 50 KM
UPCOMING DEVELOPMENTS
1)	PATAS ? BARAMATI HIGHWAY IS IN PROCESS OF BECOMING DELHI ? BANGLORE BYPASS HIGHWAY
2)	PATAS ? KURKUMBH MIDC IS IN DEVELOPMENT WHICH ADJUCENT TO KURKUMBH MIDC
3)	NEW UPCOMING INTERNATIONAL AIRPORT OF PUNE IS 30 KM FROM PROJECT

 More About This Property 2500 Square feet Plot for sale in Charholi Budruk, Pune. This land has a dimension of 46.0 mt length 57.0 mt width. Price. This is a corner plot. The plot is North-West facing. There are 3 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 5. The most popular landmarks near this plot are Deokar Hospital, Wagheshwar marathi medium school, and Vidhyaniketan Prathamik Vidhyalaya",1,northwest,0,5,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Narhe,2000,551000,INR,1,1,0,This plot is available for sale and is located in the heart of Narhe. It has a salable area of 2000 sqft and is available at a price of Rs. 275 per sqft. It is facing north direction. It is situated in the proximity of all the important facilities. Contact us for more details. ,1,north,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Ambegaon Budruk,2000,551000,INR,1,1,0,"This Specially Designed project Situated on 18 acres of land with a magnificent, Splendid Developments
PROJECT AREA - 20 ACRES
NO. OF PLOTS ? 200
PLOT SIZE ? 2000 SQ.FT. ONWARDS

?	KEY POINTS TO BUY
o	Lowest Rate in entire Vicinity (with all amenities) 
o	Best Investment Opportunity
o	Kurkumbh MIDC 
o	Excellent Connectivity with Pune-Sholapur Highway, Airport & Railway Station.

?	CONNECTIVITY
o	Pune-Solapur Highway :- 1 Min 
o	New Airport :-30 Mins
o	Patas Railway Station :- 10 Mins
o	Delhi Bangalore Highway Touch 
o	Hospital :- 2 Mins 
o	Convent School :- 2 Mins

?	AMENITIES
o	Vishwa Reality garnishes with all modern Amenities like
o	Main Gate
o	Internal Road
o	Street Light
o	Garden Area, Open Space, Gazebo
o	Kids play area
o	Road side plantation
o	Entire Project Fencing
o	Electricity Connection
o	Water Connection
o	Security cabin



This Specially Designed project Situated on 18 acres of land with a magnificent, Splendid Developments
PROJECT AREA - 20 ACRES
NO. OF PLOTS ? 200
PLOT SIZE ? 2000 SQ.FT. ONWARDS

?	KEY POINTS TO BUY
o	Lowest Rate in entire Vicinity (with all amenities) 
o	Best Investment Opportunity
o	Kurkumbh MIDC 
o	Excellent Connectivity with Pune-Sholapur Highway, Airport & Railway Station.

?	CONNECTIVITY
o	Pune-Solapur Highway :- 1 Min 
o	New Airport :-30 Mins
o	Patas Railway Station :- 10 Mins
o	Delhi Bangalore Highway Touch 
o	Hospital :- 2 Mins 
o	Convent School :- 2 Mins

?	AMENITIES
o	Vishwa Reality garnishes with all modern Amenities like






 More About This Property 2000 Square feet Plot for sale in Ambegaon Budruk, Pune. This land has a dimension of 50.0 mt length 40.0 mt width. Price. This is a corner plot. The plot is North facing. There are 2 open sides for this plot. The width of the facing road is 30.0 mt. This residential land also has a boundary wall. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Soul spice Family Restaurant, lakhhe Wood Family Restaurant, and Ranmala Agro Tourism",1,north,0,0,0,0,0,0,0,1,1,0,0,0,8.1,,,,,,,,,,,,,,,,
Mohammed wadi,2060,824000,INR,1,1,0,"A plot property is available for sale in Mohammed wadi, Pune. It has a salable area of 2060 sqft and is available at a price of Rs. 400 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,4,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
Shiraswadi,1600,1765000,INR,1,1,0,"This plot is situated in Shiraswadi, Pune. It has a salable area of 1600 sqft and is available at a price of Rs. 1,103 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,east,0,3,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Shiraswadi,1600,1767000,INR,1,1,0,"A plot property is available for sale in Shiraswadi, Pune. It has an area of 1600 sqft. The property is available at a price of Rs. 17.67 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Kindly call us for details. ",1,east,0,3,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,
Wagholi,1000,1198000,INR,1,1,0,"1000 Square feet Plot for sale in Wagholi, Pune. This land has a dimension of 40.0 mt length 25.0 mt width. Price. This is a corner plot. The plot is East facing. The width of the facing road is 20.0 mt. The maximum floor allowed for construction on this plot is 4. The most popular landmarks near this plot are Nawale Hospital, Tathe Hospital & Nursing Home, and Primary High School Wagholi",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Loni Kalbhor,1200,659000,INR,1,1,0,"This plot is situated in Loni Kalbhor, Pune. It has a salable area of 1200 sqft and is available at a price of Rs. 549 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Manjari Budruk,1860,868000,INR,1,1,0,"This plot is available for sale and is located in the heart of Manjari Budruk. It has an area of 1860 sqft. The property is available at a price of Rs. 8.68 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kunjirwadi,1220,612000,INR,1,1,0,"It has an area of 1220 sqft. The property is available at a price of Rs. 6.12 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lohegaon,1260,695000,INR,1,1,0,"A plot is available at a prime location in Lohegaon. It has an area of 1260 sqft and is priced at Rs. 6.95 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Loni Kalbhor,1180,658000,INR,1,1,0,"This plot is situated in Loni Kalbhor. It has an area of 1180 sqft. The property is available at a price of Rs. 6.58 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Lohegaon,1260,635000,INR,1,1,0,"A plot is available for sale in Lohegaon, Pune. It has a salable area of 1260 sqft and is available at a price of Rs. 503 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hadapsar,1750,965000,INR,1,1,0,"A plot is available for sale in Hadapsar, Pune. It has an area of 1750 sqft. The property is available at a price of Rs. 9.65 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Fursungi,1400,750000,INR,1,1,0,"This plot is situated in Fursungi. It has a salable area of 1400 sqft and is available at a price of Rs. 535 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Mohammed wadi,1750,968000,INR,1,1,0,"A plot is available for sale in Mohammed wadi, Pune. It has an area of 1750 sqft and is priced at Rs. 9.68 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,east,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Katraj,1680,856000,INR,1,1,0,"It has an area of 1680 sqft. The property is available at a price of Rs. 8.56 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.4,,,,,,,,,,,,,,,,
Fursungi,1420,760000,INR,1,1,0,"This plot is situated in Fursungi, Pune. It has an area of 1420 sqft. The property is available at a price of Rs. 7.60 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Hadapsar,1800,945000,INR,1,1,0,"A plot is available at a prime location in Hadapsar. It has an area of 1800 sqft and is priced at Rs. 9.45 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Fursungi,1400,770000,INR,1,1,0,"A plot is available for sale in Fursungi, Pune. It has a salable area of 1400 sqft and is available at a price of Rs. 550 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Manjari Khurd,1600,880000,INR,1,1,0,"This plot is situated in Manjari Khurd. It has a salable area of 1600 sqft and is available at a price of Rs. 550 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Uruli Devachi,1025,545000,INR,1,1,0,"A plot is available for sale in Uruli Devachi, Pune. It has a salable area of 1025 sqft and is available at a price of Rs. 531 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kunjirwadi,1020,555000,INR,1,1,0,"It has an area of 1020 sqft and is priced at Rs. 5.55 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Hadapsar,1950,920000,INR,1,1,0,"This plot is situated in Hadapsar, Pune. It has a salable area of 1950 sqft and is available at a price of Rs. 471 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Fursungi,1190,623000,INR,1,1,0,"This plot is situated in Fursungi, Pune. It has an area of 1190 sqft and is priced at Rs. 6.23 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Fursungi,1180,658000,INR,1,1,0,"It has an area of 1180 sqft and is priced at Rs. 6.58 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Manjari Budruk,1600,880000,INR,1,1,0,"This plot is available for sale and is located in the heart of Manjari Budruk. It has an area of 1600 sqft and is priced at Rs. 8.80 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Hadapsar,1360,749000,INR,1,1,0,"This plot is situated in Hadapsar. It has an area of 1360 sqft and is priced at Rs. 7.49 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Uruli Kanchan,1020,540000,INR,1,1,0,"A plot is available for sale in Uruli Kanchan, Pune. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,6.2,,,,,,,,,,,,,,,,
Hadapsar,1350,742500,INR,1,1,0,"A plot is available at a prime location in Hadapsar. It has an area of 1350 sqft. The property is available at a price of Rs. 7.43 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Loni Kalbhor,1050,555000,INR,1,1,0,"This plot is situated in Loni Kalbhor, Pune. It has an area of 1050 sqft. The property is available at a price of Rs. 5.55 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Shewalewadi,1145,629750,INR,1,1,0,"A plot is available for sale in Shewalewadi, Pune. It has an area of 1145 sqft and is priced at Rs. 6.30 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manjari Budruk,1150,632500,INR,1,1,0,"A plot is available for sale in Manjari Budruk, Pune. It has an area of 1150 sqft and is priced at Rs. 6.32 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Fursungi,1400,770000,INR,1,1,0,"A plot is available for sale in Fursungi, Pune. It has a salable area of 1400 sqft and is available at a price of Rs. 550 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Manjari Khurd,1600,880000,INR,1,1,0,"This plot is situated in Manjari Khurd. It has a salable area of 1600 sqft and is available at a price of Rs. 550 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Alandi,1600,4500000,INR,0,1,0,"This plot is situated in Alandi, Pune. It has an area of 1600 sqft and is priced at Rs. 45.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,,0,0,0,0,0,0,0,1,1,0,0,0,7.5,,,,,,,,,,,,,,,,
Mundhwa,1650,950000,INR,1,1,0,"A plot is available at a prime location in Mundhwa. It has a salable area of 1650 sqft and is available at a price of Rs. 575 per sqft. It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.6,,,,,,,,,,,,,,,,
Keshav Nagar,1650,950000,INR,1,1,0,"A plot property is available for sale in Keshav Nagar, Pune. It has a salable area of 1650 sqft and is available at a price of Rs. 575 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kharadi,1000,550000,INR,1,1,0,"This plot is situated in Kharadi, Pune. It has an area of 1000 sqft and is priced at Rs. 5.50 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Viman Nagar,1600,1250000,INR,1,1,0,"A plot is available at a prime location in Viman Nagar. It has a salable area of 1600 sqft and is available at a price of Rs. 781 per sqft. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.2,,,,,,,,,,,,,,,,
Kharadi,1200,1240000,INR,1,1,0,"This plot is available for sale and is located in the heart of Kharadi. It has an area of 1200 sqft and is priced at Rs. 12.40 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Hadapsar,1000,737000,INR,1,1,0,"This plot is situated in Hadapsar. It has a salable area of 1000 sqft and is available at a price of Rs. 737 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Wagholi,1150,1400000,INR,1,1,0,"A plot is available at a prime location in Wagholi. It has an area of 1150 sqft and is priced at Rs. 14.00 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Katraj,1800,972000,INR,1,1,0,"A plot property is available for sale in Katraj, Pune. It has an area of 1800 sqft. The property is available at a price of Rs. 9.72 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.4,,,,,,,,,,,,,,,,
Loni Kalbhor,1340,737000,INR,1,1,0,"This plot is situated in Loni Kalbhor. It has a salable area of 1340 sqft and is available at a price of Rs. 550 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,7.3,,,,,,,,,,,,,,,,
Shewalewadi,1200,648000,INR,1,1,0,"This plot is situated in Shewalewadi. It has an area of 1200 sqft. The property is available at a price of Rs. 6.48 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Fursungi,1600,880000,INR,1,1,0,"This plot is available for sale and is located in the heart of Fursungi. It has an area of 1600 sqft and is priced at Rs. 8.80 lac . Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.1,,,,,,,,,,,,,,,,
Manjari Khurd,1800,990000,INR,1,1,0,"A plot is available for sale in Manjari Khurd, Pune. It has a salable area of 1800 sqft and is available at a price of Rs. 550 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manjari Budruk,2050,1127500,INR,1,1,0,"This plot is available for sale and is located in the heart of Manjari Budruk. It has a salable area of 2050 sqft and is available at a price of Rs. 550 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. Please contact for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kharadi,1300,715000,INR,1,1,0,"A plot is available for sale in Kharadi, Pune. It has an area of 1300 sqft and is priced at Rs. 7.15 lac . It is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.9,,,,,,,,,,,,,,,,
Wanowrie,1200,660000,INR,1,1,0,"This plot is situated in Wanowrie, Pune. It has an area of 1200 sqft and is priced at Rs. 6.60 lac . It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8.8,,,,,,,,,,,,,,,,
Lohegaon,1250,687500,INR,1,1,0,"A plot property is available for sale in Lohegaon, Pune. It has a salable area of 1250 sqft and is available at a price of Rs. 550 per sqft. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,
Hadapsar,1000,1200000,INR,1,1,0,"A plot is available for sale in Hadapsar, Pune. It has an area of 1000 sqft and is priced at Rs. 12.00 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,9.4,,,,,,,,,,,,,,,,
Shikrapur,1000,360000,INR,1,1,0,"A plot is available at a prime location in Shikrapur. It has an area of 1000 sqft. The property is available at a price of Rs. 3.60 lac . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. ",1,,0,0,0,0,0,0,0,0,0,0,0,0,6.2,,,,,,,,,,,,,,,,
kesnand,1000,1549599,INR,1,1,0,"This plot is situated in kesnand. It has a salable area of 1000 sqft and is available at a price of Rs. 1,549 per sqft. Its entry is east facing. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
