location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Swimming Pool,Jogging Track,Landscaped Gardens,Sports Facility,Gymnasium,locality_score,project_score,builder_experience,Indoor Games,Rain Water Harvesting,Intercom,Maintenance Staff,Vaastu Compliant,Car Parking,Shopping Mall,Multipurpose Room,ATM,Staff Quarter,Hospital,School,Cafeteria
Gomti Nagar,1058,5850000,INR,,1,1,"It’s a 3 bhk builder floor situated in IBIS Zam Enclave, Gomti Nagar, Lucknow. It has a salable area of 1058 sqft and is available at a price of Rs. 5,529 per sqft. It is an unfurnished property. The property is available on freehold. It is a 2 year old ready-to-move-in property. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.0,123.0,,,,,,1.0,,,,,,,
Mohanlalganj,1014,4800000,INR,,0,0,"It’s a 2 bhk builder floor situated in Omaxe Limited Metro City, Mohanlalganj. It has a built-up area of 1014 sqft and is priced at Rs. 48.00 lac . It is a furnished property. This residential complex is under-construction as of now. The expected completion date is 31/12/2024. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6.3,,35.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
Jankipuram,1000,999000,INR,1,1,1,"It’s a 4 bhk builder floor situated in IBIS Jankipuram Villas, Jankipuram, Lucknow. It has an area of 1000 sqft . The property is available at a price of Rs. 9.99 lac (negotiable ). The house is unfurnished. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,,,,,,,,
Kanpur Lucknow Road,1000,3500000,INR,,1,1,"It has a built-up area of 1000 sqft and is priced at Rs. 35.00 lac (negotiable). The house is semi-furnished. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Sushant Golf City,1500,2000000,INR,,1,1,"A 2 bhk property is available for sale in Lucknow Heights Infra Dream Valley, Sushant Golf City, Lucknow. It has an area of 1500 sqft with a carpet area of 1450 sqft . The property is available at a price of Rs. 20.00 lac (negotiable ). The house is semi-furnished. It is located on the ground floor(out of a total of 2 floor(s)). It is facing east direction. The property is available on freehold. It has 2 bathrooms and 1 balcony. It is a 5 year old ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,east,0,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,8.2,123.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
amar shaheed path lucknow,1750,5200000,INR,,1,1,"Well designed 3 bhk builder floor is available at a prime location in amar shaheed path lucknow. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Indira Nagar,1250,3600000,INR,,1,1,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.",1,east,1,8,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.6,8.5,123.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,
Gomti Nagar Extension,3266,17875000,INR,,1,0,"It has an area of 3266 sqft with a carpet area of 1936 sqft . The property is available at a price of Rs. 1.79 cr . It is a semi-furnished property. It’s on 8th floor out of 17 floors building. It has landscaped gardens as well as intercom. The project also has lift available, cafeteria, jogging track, multipurpose room, gymnasium, swimming pool, children's play area and 24 x 7 security. It is north facing property. It has 5 bathrooms and 4 balconies. It is an under-construction property and is expected to get completed by 15/03/2021. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact for more details. ",1,north,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,8.0,123.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0
Ruchi Khand 1,1200,6000000,INR,,0,0,"It has an area of 1200 sqft with a carpet area of 600 sqft . The property is available at a price of Rs. 60.00 lac . It is an unfurnished property. It’s on 1st floor out of 2 floors building. It is northeast facing property. This residential property is ready-to-move-in. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Mohanlalganj,1000,1400000,INR,0,1,1,"Well designed 1 bhk builder floor is available at a prime location in Sahu Buildwell Pvt Ltd Sahu Buildwell. The house is unfurnished. The property provides an excellent view as it overlooks the road. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,west,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,,,,,,,,,,,,,,,
Hardoi Road,450,1200000,INR,,1,1,"It’s a 1 bhk builder floor situated in Hardoi Road, Lucknow. It has a built-up area of 450 sqft and is priced at Rs. 12.00 lac (negotiable). The house is semi-furnished. It is located on the 1st floor(out of a total of 2 floor(s)). It is facing east direction. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Please contact us for more details. ",1,east,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Babu Banarasi Das National Institute of Technology Management BBD,650,3000000,INR,,1,1,"It’s a 2 bhk builder floor situated in Babu Banarasi Das National Institute of Technology Management BBD. It has an area of 650 sqft with a carpet area of 450 sqft . The property is available at a price of Rs. 30.00 lac (negotiable ). It is a semi-furnished property. It has 1 bathroom and 1 balcony. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Kursi Road,1400,3600000,INR,,1,1,"It’s a 2 bhk builder floor situated in Kursi Road, Lucknow. It has a salable area of 1400 sqft and is available at a price of Rs. 2,571 per sqft. The house is semi-furnished. Furnishings include 1 wardrobe, 1 refrigerator, 1 sofa, 1 dining table, 1 ac and 1 bed. It is a road facing property. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,
Jankipuram,950,1899000,INR,,1,0,"A 2 bhk property is available for sale in Awadhpuram, Jankipuram, Lucknow. It has a salable area of 950 sqft and is available at a price of Rs. 1,998 per sqft. It is a semi-furnished property. It is located on the ground floor(out of a total of 2 floor(s)). One of the major USPs of the property is that it is a road facing property. The property is in a complex owned by a co-operative society. It has 2 bathrooms and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,east,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,1.0,,,,,,,
Faizabad Road,1265,4000000,INR,,1,1,"This spacious 2 bhk builder floor is available for sale and is located in Grah Builders And Developers Enclave Phase 3, one of the most prestigious projects of Faizabad Road. It has a salable area of 1265 sqft and is available at a price of Rs. 3,162 per sqft. The house is unfurnished. It’s on ground floor out of 2 floors building. It is northwest facing property. The property has 2 bathrooms and 1 balcony. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Contact us for more details. ",1,northwest,0,3,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,123.0,,1.0,,,1.0,1.0,1.0,,,,,,
Jankipuram,1200,4500000,INR,,1,1,"•	Vitrified tiles in drawing and bedroom, Anti skid tiles in bathrooms and balconies.
•	Finished walls & ceiling in OBD with putty in drawing room with pleasing shades.
•	Outer doors & windows with finest quality of wood and good quality hardware fittings.",1,east,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,123.0,,,,,,,,,,,,,
LDA Colony,1000,4000000,INR,,0,0,"Very near to CMS school and Krishna Nagar Metro station, walking distance, close to all amenities mall, atm, convence...rooms are very airy and spacious , it's on ground floor with park",1,west,0,6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,
