location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,24 X 7 Security,Full Power Backup,Jogging Track,Landscaped Gardens,Gymnasium,Lift(s),Intercom,Sports Facility,Swimming Pool,Club House,Children's play area,locality_score,project_score,builder_experience,Car Parking,Shopping Mall,Indoor Games,Maintenance Staff,Multipurpose Room,Rain Water Harvesting,Cafeteria,Vaastu Compliant,ATM,Golf Course,Staff Quarter,Hospital,School
Mohali Sec 124,1500,7180000,INR,,1,1,"We’re delighted to showcase our Premium Residential Project (AERO VILLAS) Situated on 200 Feet International Airport Road, Sector-123, Mohali in the close vicinity of Chandigarh and just minutes away from International Airport.

Here are some of the features which makes *AERO VILLAS* stand out -

Located just 300Mtr from International Airport Road.
Gated Secured Society with 24*7 survillance.

FEATURES AND AMENITIES:--

??Fully Equipped Modular Kitchen.
??Modular Wardrobes having HDHMR sheets in All Bedrooms
??Texture paint/wallpaper/POP finish in Living cum dining area.
?? Modular Touch control switches (Goldmedal), Provision, point for fans & Exhaust fan etc.
?? Washrooms with branded Fittings (KOHLER)
?? Covered Wiring for DTH, Telephone.
?? Spacious balconies with Anti Skid Tiles.
?? Split AC Provision in villas.
?? Branded Doors.
?? Secured Gated society with hi-tech security
?? CCTV Monitoring for Entire Complex.
?? Free Car parking for residents.
?? Underground wire & cabling.
?? 2.5 Acres Sectorial Park & Lush Green Garden with Kids Play Area.
?? With Spacious drawing cum dining area.
?? 24x7 Power Electricity & Water Supply.
?? Home Loan available from almost all Nationalised Banks.

?? ready to move in in VILLAS


?Kindly go through the details and let me know if you have any questions.
?Book your LUXURY VILLA today at a very affordable price to get maximum benefits.",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Dera Bassi,1100,3190000,INR,,1,1,One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. ,1,northeast,0,1,1,1,0,0,0,0,,0,0,1,0,7.1,,123.0,1.0,,,,,,,,,,,,
Dera Bassi,1000,3190000,INR,,1,1,"Well designed 2 bhk villa is available at a prime location in Buildcon Vasant Vihar. It has a salable area of 1000 sqft and is available at a price of Rs. 3,190 per sqft. It is facing northeast direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,7.1,,123.0,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"A 2 bhk property is available for sale in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 700 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. This residential complex is under-construction as of now. The expected completion date is 12/01/2022. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Kharar Mohali,1500,7180000,INR,,1,1,"We’re delighted to showcase our Premium Residential Project (AERO VILLAS) Situated on 200 Feet International Airport Road, Sector-123, Mohali in the close vicinity of Chandigarh and just minutes away from International Airport.

Here are some of the features which makes *AERO VILLAS* stand out -

Located just 300Mtr from International Airport Road.
Gated Secured Society with 24*7 survillance.

FEATURES AND AMENITIES:--

??Fully Equipped Modular Kitchen.
??Modular Wardrobes having HDHMR sheets in All Bedrooms
??Texture paint/wallpaper/POP finish in Living cum dining area.
?? Modular Touch control switches (Goldmedal), Provision, point for fans & Exhaust fan etc.
?? Washrooms with branded Fittings (KOHLER)
?? Covered Wiring for DTH, Telephone.
?? Spacious balconies with Anti Skid Tiles.
?? Split AC Provision in villas.
?? Branded Doors.
?? Secured Gated society with hi-tech security
?? CCTV Monitoring for Entire Complex.
?? Free Car parking for residents.
?? Underground wire & cabling.
?? 2.5 Acres Sectorial Park & Lush Green Garden with Kids Play Area.
?? With Spacious drawing cum dining area.
?? 24x7 Power Electricity & Water Supply.
?? Home Loan available from almost all Nationalised Banks.

?? ready to move in in VILLAS


?Kindly go through the details and let me know if you have any questions.
?Book your LUXURY VILLA today at a very affordable price to get maximum benefits.",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,1550,3980000,INR,,1,1,"Well designed 4 bhk villa is available at a prime location in Kharar Mohali. It has an area of 1550 sqft with a carpet area of 1500 sqft . The property is available at a price of Rs. 39.80 lac (negotiable ). It has 4 wardrobe, 1 tv, 1 ac and 2 bed. It also has 1 modular kitchen. The property is available on freehold. It has 4 bathrooms and 2 balconies. It is a ready-to-move-in property. If you are interested, please contact us for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
Kharar Mohali,1000,2900000,INR,,1,1,"It’s a 2 bhk villa situated in Kharar Mohali. It has an area of 1000 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 29.00 lac (negotiable ). The house is semi-furnished. It has 2 wardrobe, 1 tv, 1 ac and 2 bed. It also has 1 modular kitchen. It is a road facing property. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,east,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"A spacious 2 bhk villa is available for sale in Zirakpur GAzipur Road, Chandigarh. It has an area of 900 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). The house is semi-furnished. It is northeast facing property. The property is available on freehold. It is made in way to provide a comfortable living. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Dera Bassi,1100,3190000,INR,,1,1,"A 2 bhk property is available for sale in Buildcon Vasant Vihar, Dera Bassi, Chandigarh. It is a semi-furnished property. One of the major USPs of the property is that it is a road facing property. The property has 2 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact us for more details. ",1,northeast,0,1,1,1,0,0,0,0,,0,0,0,0,7.1,,123.0,1.0,,,,,,,,,,,,
Kharar Mohali,1250,4460000,INR,,1,1,"It’s a 2 bhk villa situated in Kharar Mohali. It has a salable area of 1250 sqft and is available at a price of Rs. 3,568 per sqft. It is a semi-furnished property. It has 2 wardrobe, 1 tv, 2 ac and 2 bed. It also has 1 modular kitchen. One of the major USPs of the property is that it is a road facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact for more details. ",1,northwest,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,1250,4450000,INR,,1,1,"Well designed 2 bhk villa is available at a prime location in Kharar Mohali. It has a salable area of 1250 sqft and is available at a price of Rs. 3,560 per sqft. The house is semi-furnished. Furnishings include 2 wardrobe, 1 tv, 2 ac, 2 bed and 1 modular kitchen. It is facing northeast direction. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ",1,northeast,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
New Chandigarh Mullanpur,3240,31960000,INR,0,1,1,Its main door is facing northeast direction. This residential complex is under-construction as of now. The expected completion date is 15/07/2021. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Kindly call us for details. ,1,northeast,0,0,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
New Chandigarh Mullanpur,2340,22019300,INR,0,1,1,"This spacious 4 bhk villa is available for sale and is located in the heart of New Chandigarh Mullanpur. It has a salable area of 2340 sqft and is available at a price of Rs. 9,409 per sqft. The house is semi-furnished. The property provides an excellent view as it is a corner property. The property is available on freehold. The property has 4 bathrooms and 4 balconies. This residential complex is under-construction as of now. The expected completion date is 01/07/2021. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",1,northeast,0,0,1,1,1,0,1,1,1.0,1,1,1,1,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
Kharar Mohali,1225,4500000,INR,,1,0,"This spacious 2 bhk villa is available for sale and is located in the heart of Kharar Mohali. It has a built-up area of 1225 sqft and is priced at Rs. 45.00 lac . It is a semi-furnished property. It has 2 wardrobe, 1 tv, 2 ac and 2 bed. It also has 1 modular kitchen. Its main door is facing northeast direction. The property is available on freehold. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. ",1,northeast,0,0,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0
kharar landran road,1053,5690000,INR,,1,1,"villa palacio by divya developer spanish villas with ultra modern amenities private garden with each villa 3 tier security , club house with indoor games s gym , 24 hours power backup , dedicated car parking space Retail shops , abundant water supply , mind tree school 2 mins , sacred soul school 10 min walking distance , chandigarh university 5 min , ggs college of modern technology 1 min vaastu frandly",1,east,0,1,1,0,1,1,1,0,,0,0,0,1,,,,,,1.0,,,,,1.0,,,,,
Kurali Chandigarh Road,1053,5600000,INR,,1,1,"owen the spanish villas with ultra modern amenities amididst an ideal environment , private garden with each villa , 3 tier security , club house with indoor games s gym , 24 hours power backup dedicated car parking space , retail shops Abundant water supply , schools mind tree 1 mins walking distance , st .Ezra international school 3 mins , chandigarh university 5 mins , cgs college of modern technology 1 mins driving distance",1,east,0,1,1,1,0,1,1,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1000,5200000,INR,1,1,1,It’s a 3 bhk villa situated in PEER MUCHALLA ADJOING SEC 20 PANCHKULA. It has a built-up area of 1000 sqft and is priced at Rs. 52.00 lac (negotiable). One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. It has 3 bathrooms and 3 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. ,1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1350,6500000,INR,1,1,1,"It’s a 3 bhk villa situated in PEER MUCHALLA ADJOING SEC 20 PANCHKULA. It has a salable area of 1350 sqft and is available at a price of Rs. 4,814 per sqft. It is a semi-furnished property. It is east facing property. The property is available on freehold. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Village,1200,2390000,INR,,1,0,"A 2 bhk property is available for sale in Plots, Mohali Village, Chandigarh. It has an area of 1200 sqft with a carpet area of 1100 sqft . The property is available at a price of Rs. 23.90 lac . The house is unfurnished. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",1,,0,1,0,0,0,0,0,0,,0,0,0,0,,,123.0,,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1550,7800000,INR,1,1,1,"It has a salable area of 1550 sqft and is available at a price of Rs. 5,032 per sqft. It is a semi-furnished property. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. Contact us for more details. ",1,east,0,1,0,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
PEER MUCHALLA ADJOING SEC 20 PANCHKULA,1200,5200000,INR,1,1,0,"A 3 bhk property is available for sale in PEER MUCHALLA ADJOING SEC 20 PANCHKULA, Chandigarh. The house is semi-furnished. Its main door is facing east direction. The property is available on freehold. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sector 127,850,4190000,INR,,1,1,"Well designed 3 bhk villa is available at a prime location in Mohali Sector 127. The house is furnished. Furnishings include 3 wardrobe, 1 tv, 1 sofa, 3 bed and 1 modular kitchen. One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,east,1,0,1,0,1,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,1035,4600000,INR,,1,1,"It has a salable area of 1035 sqft and is available at a price of Rs. 4,444 per sqft. It is a corner property. The property is available on freehold. It has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",1,northeast,0,0,1,1,1,0,0,0,,0,1,1,0,,,,1.0,,,,,,,,,,,,
Patiala Road Zirakpur,700,2700000,INR,,1,1,"It’s a 1 bhk villa situated in Patiala Road Zirakpur, Chandigarh. It has an area of 700 sqft with a carpet area of 550 sqft . The property is available at a price of Rs. 27.00 lac (negotiable ). The property provides an excellent view as it is a corner property. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Contact us for more details. ",1,northeast,0,0,0,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,700,3700000,INR,,1,1,"The house is semi-furnished. The property provides an excellent view as it is a corner property. The property is available on freehold. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. ",1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur punjab,900,3700000,INR,,1,1,Well designed 2 bhk villa is available at a prime location in Zirakpur punjab. It has an area of 900 sqft with a carpet area of 750 sqft . The property is available at a price of Rs. 37.00 lac (negotiable ). It is a semi-furnished property. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Please contact for more details. ,1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,530,2990000,INR,,1,1,"It’s a 1 bhk villa situated in Zirakpur GAzipur Road. It has a salable area of 530 sqft and is available at a price of Rs. 5,641 per sqft. It is a semi-furnished property. The property provides an excellent view as it overlooks the road. The property is available on freehold. It has 1 bathroom and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mullanpur New Chandigarh,4500,41058700,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities with the villas in the township spread over 4500 sq ft. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,0,2,1,1,0,0,1,1,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,1000,4200000,INR,,1,1,"It has a built-up area of 1000 sqft and is priced at Rs. 42.00 lac (negotiable). The house is semi-furnished. The property is available on freehold. It has 2 bathrooms and 2 balconies. This residential complex is under-construction as of now. The expected completion date is 15/08/2022. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",1,northeast,0,0,1,1,1,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Patiala Road Zirakpur,700,2700000,INR,,1,1,"It’s a 1 bhk villa situated in Patiala Road Zirakpur, Chandigarh. It has a built-up area of 700 sqft and is priced at Rs. 27.00 lac (negotiable). It is a semi-furnished property. It is facing northeast direction. The property is available on freehold. The property has 1 bathroom and 2 balconies. This residential property is ready-to-move-in. Kindly call us for details. ",1,northeast,0,1,0,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,900,3700000,INR,,1,1,"Well designed 2 bhk villa is available at a prime location in Zirakpur GAzipur Road. It has a built-up area of 900 sqft and is priced at Rs. 37.00 lac (negotiable). It is a semi-furnished property. It is northeast facing property. The property is available on freehold. It has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Mohali Sector 127,850,4190000,INR,,1,1,It is a furnished property. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. Please contact us for more details. ,1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Mohali Sector 127,950,4590000,INR,,1,1,"It’s a 3 bhk villa situated in Mohali Sector 127, Chandigarh. It has a built-up area of 950 sqft and is priced at Rs. 45.90 lac (negotiable). It is a furnished property. The property provides an excellent view as it overlooks the garden. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. Contact us for more details. ",1,east,1,0,1,0,1,1,1,0,,0,0,0,1,,,,1.0,,,,,1.0,,,1.0,,,1.0,1.0
kharar landran road,850,4190000,INR,,1,1,"3 bhk kothi for sale ready to move in in in affordable price
• Modern spacious kitchen with luxury fitting and finishing.
•Spacious bedrooms with luxury attached washroom.
•3 main road connectivity+ other more facilities available for your comfort
Loan available 90%
booking amount 21000

Contact for more information",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Chandigarh Airport Area,850,4590000,INR,,1,1,"It’s a 3 bhk villa situated in Chandigarh Airport Area, Chandigarh. It has a built-up area of 850 sqft and is priced at Rs. 45.90 lac (negotiable). The house is furnished. Furnishings include 3 wardrobe, 1 tv, 1 sofa, 3 bed and 1 modular kitchen. The property provides an excellent view as it overlooks the garden. The property is available on freehold. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. ",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Airport Road,950,4590000,INR,,1,1,"3 bhk kothi for sale ready to move in in in affordable price
• Modern spacious kitchen with luxury fitting and finishing.
•Spacious bedrooms with luxury attached washroom.
•3 main road connectivity+ other more facilities available for your comfort
Loan available 90%
booking amount 21000

Contact for more information",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Airport Road,1090,6190000,INR,,1,1,"It’s a 3 bhk villa situated in Airport Road, Chandigarh. It has an area of 1090 sqft with a carpet area of 1065 sqft . The property is available at a price of Rs. 61.90 lac (negotiable ). The house is furnished. It has 3 wardrobe, 1 tv, 1 sofa and 3 bed. It also has 1 modular kitchen. It is a garden facing property. The property is available on freehold. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,1,0,1,0,1,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
kharar landran road,930,4590000,INR,,1,1,"A spacious 3 bhk villa is available for sale in kharar landran road, Chandigarh. Furnishings include 3 wardrobe, 1 tv, 1 sofa, 3 bed and 1 modular kitchen. One of the major USPs of the property is that it is a garden facing property. The property is available on freehold. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. ",1,northeast,1,0,1,0,1,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0
Airport Road,930,4990000,INR,,1,1,"This spacious 3 bhk villa is available for sale and is located in the heart of Airport Road. It has a built-up area of 930 sqft and is priced at Rs. 49.90 lac (negotiable). It is a furnished property. It has 3 wardrobe, 1 tv, 1 sofa and 3 bed. It also has 1 modular kitchen. Its main door is facing east direction. The property is available on freehold. It has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living for the residents. It is well connected to the city areas. ",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
SEC 115 MOHALI KHARAR LANDRAN ROAD,850,4590000,INR,,1,1,"It has 3 wardrobe, 1 tv, 1 sofa and 3 bed. It also has 1 modular kitchen. The property provides an excellent view as it overlooks the road. The property has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. ",1,east,1,0,1,0,0,0,1,0,,0,0,0,1,,,,1.0,,,1.0,,,,,1.0,,,1.0,1.0
Mullanpur,4500,29725000,INR,1,1,1,"Omaxe Mulberry Villas in Chandigarh are designed to offer delightful living experience and a great lifestyle. The Villas are enriched with luxurious amenities. The houses are modern and unique, laden with the best of facilities to soothe the living experience. The villas have smooth Italian marble flooring.The master bedroom is encompassed with laminated wooden flooring to give you the touch of nature and royalty. The modular kitchen can entice anyone to turn culinary artist with the designed perfection. The green lawns lay wide surrounding your villa, coaxing the villa amidst the beauty of nature. The luxurious experience in the bathroom is studded by its European style, making it to the epitome of desires.The destination is surrounded by facilities and amenities which would make life simpler and more comfortable. The superb connectivity reduces the hassle of the commute from any part of the city. Compared to the multitude of amenities and a peaceful existence away from the hustle of busy cities price would be a minor decision at Omaxe New Chandigarh Villas. The township boasts of amenities such as shopping complex, school, and amusement parks within the area to provide hassle-free living experience.",1,east,0,0,1,1,0,1,1,1,,0,1,0,0,,,,1.0,,,,,,,,,,,,
Zirakpur GAzipur Road,535,2990000,INR,,1,1,"It’s a 1 bhk villa situated in Zirakpur GAzipur Road. It has a salable area of 535 sqft and is available at a price of Rs. 5,588 per sqft. The house is semi-furnished. It is a road facing property. The property is available on freehold. The property has 1 bathroom and 1 balcony. It is a ready-to-move-in property. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,northeast,0,0,1,1,0,0,0,0,,0,0,0,0,,,,1.0,,,,,,,,,,,,
Bhago Majra Road Kharar,900,2600000,INR,,1,0,"Well designed 2 bhk villa is available at a prime location in Bhago Majra Road Kharar. It has a built-up area of 900 sqft and is priced at Rs. 26.00 lac . The house is unfurnished. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kurali Chandigarh Road,1000,4790000,INR,,1,0,"Offering ? *Spanish Villas*?

Starting @47.90 onwards
Located on CHD-KHARAR-KURALI Highway(NH -21)

# Gated Township.

# Two Tier Security.

# 24 Hours CCTV

# Offering 170 Independent Duplex Villas in Phase 1.

# Fully Equipped Modular Kitchen.

# Chandigarh University & Rayat Bahara University nearby

# Mind Tree Smart School on Walk in Distance

# *Huge Rental Income* 

# *Unmatchable Price*

# Connected to National Highways NH-95 & NH-21

# Private Garden for every Villa 

# Land Scaped Gardens & Club House

# LED street Lights 

# STP


Lucrative Offers..book your dream home in green zone..",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Ludhiana Chandigarh State Highway,800,2500000,INR,,1,0,"Villa for sale bagho magra ludaina Chandigarh kharar road... 
Gated society's... 
ready to move in in... 
All facility available.. 
Markets near to project... 
Water and electricity avaible... 
Well developed...",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
kharar landran road,900,3200000,INR,,1,0,"3bhk villa for sale sector 115 landra road mohali kharar.... 
Gated villa... 
ready to move in in... 
Water and electricity avaible... 
Read to move... 
On road project....",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Kharar Mohali,1300,4100000,INR,,1,1,"This spacious 2 bhk villa is available for sale and is located in the heart of Kharar Mohali. It has an area of 1300 sqft with a carpet area of 1250 sqft . The property is available at a price of Rs. 41.00 lac (negotiable ). It is a semi-furnished property. Furnishings include 2 wardrobe, 1 tv, 2 ac, 2 bed and 1 modular kitchen. Its main door is facing northeast direction. The property is available on freehold. The property has 2 bathrooms and 2 balconies. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. ",1,northeast,0,1,1,0,0,0,0,0,,0,0,0,0,,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0
kharar landran road,900,3500000,INR,,1,0,"A 3 bhk property is available for sale in kharar landran road, Chandigarh. It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a price of Rs. 35.00 lac . The house is unfurnished. The property has 3 bathrooms and 2 balconies. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Sec 124,1050,4000000,INR,,1,0,"A spacious 3 bhk villa is available for sale in Mohali Sec 124, Chandigarh. It has an area of 1050 sqft with a carpet area of 950 sqft . The property is available at a price of Rs. 40.00 lac . The house is unfurnished. The property has 3 bathrooms and 2 balconies. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. ",1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Mohali Sec 125,1250,5200000,INR,,1,0,It’s a 3 bhk villa situated in Mohali Sec 125. It has a built-up area of 1250 sqft and is priced at Rs. 52.00 lac . The house is unfurnished. It has 3 bathrooms and 3 balconies. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. ,1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Ludhiana Chandigarh State Highway,900,2990000,INR,,1,0,It’s a 3 bhk villa situated in Ludhiana Chandigarh State Highway. It is an unfurnished property. The property has 2 bathrooms and 2 balconies. It is situated in the proximity of all the important facilities. Please contact for more details. ,1,,0,2,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
